character,record_type,record_subtype,name,activation_requirement,stack_limit,cp_cost,die_face,rules_text,character_form,potion_slot_limit,summon_cost,companion_limit,unearth_corpse_value,companion_activation_limit,ace_charge_slot_limit
Pale Lady,Status Effect,Unique Status Effect,Moon Shard,,3,,,These tokens have effects documented on both sides of the Hero Board. These token may not be removed or transferred by any means except as a result of this Hero's abilities & cards.,All Forms,,,,,,
Pale Lady,Status Effect,Negative Status Effect,Bleed,,2,,,"Roll 1 [die] in Upkeep Phase. On 1-4, receive 1 dmg, otherwise, remove token: A player afflicted with this token must roll 1 [die] during their Upkeep Phase. On 1-4, they are dealt 1 dmg. On 5-6, remove this token.",All Forms,,,,,,
Pale Lady,Status Effect,Negative Status Effect,Prey,,2,,,"Add 1 or 2 dmg when Attacking: When a player afflicted with this token is Attacked by an opponent, the Attacker may roll 1 [die]: • On 1, remove this token. • On 2-5, the Attacker increases their dmg by 1. • On 6, the Attacker increases their dmg by 2. Attack Modifier.",All Forms,,,,,,
Pale Lady,Hero Board Ability,Offensive Ability,Scratch,[slash] ×3 / [slash] ×4 / [slash] ×5,,,,"[slash] ×3: Deal 4 dmg. [slash] ×4: Deal 5 dmg. [slash] ×5: Deal 6 dmg. On 3-of-a-kind (#'s), inflict Bleed.",Pale Lady,,,,,,
Pale Lady,Hero Board Ability,Offensive Ability,The Cure,[crescent] ×3 + [full moon] ×1,,,,Gain Moon Shard and 1 CP. Draw 1. Heal 3.,Pale Lady,,,,,,
Pale Lady,Hero Board Ability,Passive Ability,Twilight,Passive; Upkeep Phase with 3 Moon Shard,,,,"During your Upkeep Phase, if you have 3 Moon Shard, flip your Hero Board.",Pale Lady,,,,,,
Pale Lady,Hero Board Ability,Offensive Ability,The Hunt,[slash] ×2 + [full moon] ×2,,,,Inflict Prey. Then deal 6 dmg.,Pale Lady,,,,,,
Pale Lady,Hero Board Ability,Offensive Ability,Conflicted,Small Straight / Large Straight,,,,Small Straight: Gain Moon Shard. Deal 6 dmg. Large Straight: Gain 2 Moon Shard. Deal 8 dmg.,Pale Lady,,,,,,
Pale Lady,Hero Board Ability,Offensive Ability,Ensnare,[full moon] ×4,,,,Gain 2 Moon Shard. Inflict 2 Prey. Then deal 5 undefendable dmg.,Pale Lady,,,,,,
Pale Lady,Hero Board Ability,Offensive Ability,Full Moon,[crescent] ×4,,,,"Deal 5 dmg & roll 4 [dice]: Add 1 × [slash] dmg. On [crescent], gain 1 CP or Moon Shard. On [full moon], gain 1 CP and Moon Shard.",Pale Lady,,,,,,
