attempt,1_cp,1_score,1_ratio_clip,1_gradient_clip,1_parameter_movement,1_kl,1_kl_stops,1_ppo_steps,1_ppo_delta,1_training_seconds,1_evaluation_seconds,1_total_seconds,1_outcome,1_wins,1_draws,1_losses,2_cp,2_score,2_ratio_clip,2_gradient_clip,2_parameter_movement,2_kl,2_kl_stops,2_ppo_steps,2_ppo_delta,2_training_seconds,2_evaluation_seconds,2_total_seconds,2_outcome,2_wins,2_draws,2_losses,3_cp,3_score,3_ratio_clip,3_gradient_clip,3_parameter_movement,3_kl,3_kl_stops,3_ppo_steps,3_ppo_delta,3_training_seconds,3_evaluation_seconds,3_total_seconds,3_outcome,3_wins,3_draws,3_losses
1,13,0.345,0.0235595703125,0.0,0.02516147064379206,0.0012312025370112185,0/4,414720,12288,75.18791120802052,97.09850716590881,172.28641837392934,passed,310,70,620,7,0.358,0.08650716145833333,,0.19245370235561285,0.010834868997335434,disabled,365568,52224,522.6686951669399,107.45948337484151,630.1281785417814,passed,326,64,610,36,0.4695,0.07820638020833333,,0.1396488884796213,0.011746582575142384,disabled,1618944,52224,61.23265583300963,33.68292104196735,94.91557687497698,failed-continued,424,91,485
2,14,0.366,0.028645833333333332,0.0,0.026416504860904463,0.0016026807777033507,0/4,427008,12288,77.59804254211485,91.56303533306345,169.1610778751783,passed,333,66,601,8,0.315,0.08121744791666667,,0.20908798565815923,0.010390725918114185,disabled,417792,52224,520.2288602089975,104.84020587499253,625.06906608399,failed-continued,282,66,652,37,0.518,0.06783040364583333,,0.13273855597306516,0.009713205508887768,disabled,1671168,52224,61.58851737505756,33.24779812502675,94.83631550008431,passed,478,80,442
3,15,0.3445,0.028340657552083332,0.0,0.02637378667572361,0.0016283403305455597,0/4,439296,12288,75.83135320898145,94.72120654210448,170.55255975108594,failed-1-rollback,312,65,623,9,0.3135,0.093505859375,,0.2326425354376691,0.014293854124844074,disabled,470016,52224,516.7391583751887,107.91317708301358,624.6523354582023,failed-continued,283,61,656,38,0.5025,0.08125813802083333,,0.13424762672806517,0.009681533090770245,disabled,1723392,52224,61.46433258301113,33.74661329202354,95.21094587503467,failed-continued,456,93,451
4,16,0.358,0.024820963541666668,0.0,0.028274606882897017,0.0013525583533754808,0/4,439296,12288,75.82145791710354,92.76988695887849,168.59134487598203,failed-1-rollback,321,74,605,10,0.297,0.13570149739583334,,0.2537079461675791,0.02422858215868473,disabled,522240,52224,517.5794677089434,104.55466954107396,622.1341372500174,failed-continued,264,66,670,39,0.5155,0.075439453125,,0.12898417496057574,0.010205616243183613,disabled,1775616,52224,61.87268254207447,32.93492187501397,94.80760441708844,failed-continued,475,81,444
5,17,0.3405,0.026448567708333332,0.0,0.025787541281262732,0.0015012622011667531,0/4,439296,12288,75.97676870878786,99.83541312511079,175.81218183389865,failed-1-rollback,305,71,624,11,0.253,0.17207845052083334,,0.2608907150814086,0.03521224856376648,disabled,574464,52224,515.7528032499831,108.91412520897575,624.6669284589589,failed-continued,230,46,724,40,0.5635,0.076904296875,,0.13176983422219285,0.009207210503518581,disabled,1827840,52224,61.626018666895106,33.00107850006316,94.62709716695827,passed,524,79,397
6,18,0.3085,0.026590983072916668,0.0,0.025360027199211543,0.0014842762788778903,0/4,439296,12288,79.28903795802034,98.37400391697884,177.66304187499918,failed-1-rollback,281,55,664,12,0.233,0.20979817708333334,,0.24393630655255016,0.07746834307909012,disabled,626688,52224,517.6188502081204,116.11866416689008,633.7375143750105,failed-continued,194,78,728,41,0.518,0.07051595052083333,,0.13466325472936497,0.009980409406125546,disabled,1880064,52224,61.42200549994595,32.58706737495959,94.00907287490554,failed-continued,483,70,447
7,19,0.39,0.02447509765625,0.0,0.023064461419373433,0.0013127515701304067,0/4,439296,12288,77.38985254103318,93.4683571672067,170.85820970823988,passed,348,84,568,13,0.215,0.24112955729166666,,0.22920806342575692,0.1096062883734703,disabled,678912,52224,522.8832895839587,121.74368733284064,644.6269769167993,failed-continued,192,46,762,42,0.5295,0.07027180989583333,,0.13050692531773436,0.009024186059832573,disabled,1932288,52224,61.60718295897823,32.72910379199311,94.33628675097134,failed-continued,496,67,437
8,20,0.352,0.030415852864583332,0.0,0.02161353442377077,0.001750483824556189,0/4,451584,12288,76.42588804196566,98.02174100000411,174.44762904196978,failed-1-rollback,317,70,613,14,0.228,0.2503662109375,,0.21923513367009342,0.12355228513479233,disabled,731136,52224,521.8349809169304,117.1949287909083,639.0299097078387,failed-7-rollback,203,50,747,43,0.533,0.07731119791666667,,0.12729141106960068,0.011442690156400204,disabled,1984512,52224,61.373547874973156,32.63485299993772,94.00840087491088,failed-continued,494,78,428
9,21,0.3685,0.029520670572916668,0.0,0.025757449226400882,0.001713948384036712,0/4,451584,12288,79.26919604185969,100.2246354999952,179.4938315418549,failed-1-rollback,339,59,602,15,0.319,0.06880696614583333,,0.21767340551704062,0.009767626412212849,disabled,417792,52224,519.5260407919995,105.1344655000139,624.6605062920135,failed-continued,280,78,642,44,0.529,0.09464518229166667,,0.13169694158272485,0.01330665871500969,disabled,2036736,52224,61.1502257080283,32.85226454096846,94.00249024899676,failed-continued,494,70,436
10,22,0.306,0.031717936197916664,0.0,0.024090672347322453,0.001940377314826473,0/4,451584,12288,76.86013829195872,96.29253400000744,173.15267229196616,failed-1-rollback,272,68,660,16,0.314,0.08711751302083333,,0.22117156759718357,0.022364618256688118,disabled,470016,52224,518.9769116248935,102.93556733289734,621.9124789577909,failed-continued,279,70,651,45,0.5085,0.08455403645833333,,0.12948408660939248,0.010845069773495197,disabled,2088960,52224,61.349971832940355,32.235924042062834,93.58589587500319,failed-continued,476,65,459
11,23,0.3385,0.033284505208333336,0.010416666666666666,0.0243091434701957,0.0020933935268772075,0/4,451584,12288,77.57566387485713,97.81243249983527,175.3880963746924,failed-1-rollback,295,87,618,17,0.2985,0.1151123046875,,0.23494592398220732,0.017455145716667175,disabled,522240,52224,516.7964666669723,108.75526104099117,625.5517277079634,failed-continued,270,57,673,46,0.5085,0.0889892578125,,0.1351878619886472,0.01083205733448267,disabled,2141184,52224,61.80290162493475,33.541282916092314,95.34418454102706,failed-continued,471,75,454
12,24,0.349,0.03204345703125,0.0,0.025357616899091582,0.0018639271850299604,0/4,451584,12288,76.22292854217812,97.94368499983102,174.16661354200915,failed-1-rollback,317,64,619,18,0.273,0.16243489583333334,,0.2543301390801081,0.03634143993258476,disabled,574464,52224,519.7748513331171,110.09924754104577,629.8740988741629,failed-continued,247,52,701,47,0.5265,0.09122721354166667,,0.13028118249406273,0.012723050080239773,disabled,2193408,52224,61.32647304201964,33.16320445807651,94.48967750009615,failed-7-rollback,491,71,438
13,25,0.3155,0.029154459635416668,0.0,0.023347402294818773,0.0016725566999677237,0/4,451584,12288,76.47924454091117,97.69099766714498,174.17024220805615,failed-1-rollback,282,67,651,19,0.2765,0.20133463541666666,,0.24821590288752152,0.06365788727998734,disabled,626688,52224,519.1319155828096,115.55894258292392,634.6908581657335,failed-continued,246,61,693,48,0.5085,0.0860595703125,,0.1282702458292626,0.011197962798178196,disabled,1880064,52224,61.14330741693266,32.69938770798035,93.842695124913,failed-continued,463,91,446
14,26,0.352,0.027384440104166668,0.0,0.023473648454936796,0.0016862100305677548,0/4,451584,12288,76.35484941699542,94.18922820896842,170.54407762596384,failed-1-rollback,315,74,611,20,0.2305,0.23388671875,,0.2333024625473267,0.07116016745567322,disabled,678912,52224,519.7604964158963,114.51483225007541,634.2753286659718,failed-continued,204,53,743,49,0.498,0.07942708333333333,,0.12947627738876813,0.011042811907827854,disabled,1932288,52224,61.246208416996524,32.76988295803312,94.01609137502965,failed-continued,463,70,467
15,27,0.392,0.029541015625,0.0,0.025354960638636747,0.0016196781153953548,0/4,451584,12288,76.6909356249962,95.89253229205497,172.58346791705117,passed,347,90,563,21,0.2475,0.2244873046875,,0.22330060044012692,0.09241188317537308,disabled,731136,52224,519.3159178749193,113.01564179221168,632.3315596671309,failed-7-rollback,218,59,723,50,0.513,0.0809326171875,,0.12665810017114795,0.012693545781075954,disabled,1984512,52224,61.20106845907867,33.02739824994933,94.228466709028,failed-continued,478,70,452
16,28,0.3695,0.031514485677083336,0.0,0.02963929327204302,0.002107375287598264,0/4,463872,12288,76.26972304214723,96.13852091692388,172.40824395907111,failed-1-rollback,338,63,599,22,0.3425,0.08260091145833333,,0.21090335384762282,0.011301249265670776,disabled,417792,52224,522.1411906250287,103.33977020788006,625.4809608329087,failed-continued,298,89,613,51,0.522,0.07316080729166667,,0.13192536093511828,0.008825748227536678,disabled,2036736,52224,61.25377162499353,33.915481332922354,95.16925295791589,failed-continued,481,82,437
17,29,0.375,0.023539225260416668,0.0,0.025191480528792897,0.0014128202339994307,0/4,463872,12288,77.54748058295809,97.8265872921329,175.374067875091,failed-1-rollback,338,74,588,23,0.3065,0.09814453125,,0.22818344234302687,0.015681279823184013,disabled,470016,52224,521.6409584160428,103.70980045804754,625.3507588740904,failed-continued,277,59,664,52,0.5535,0.07332356770833333,,0.12546828267556073,0.009453610517084599,disabled,2088960,52224,61.30789187492337,34.12772454204969,95.43561641697306,failed-continued,514,79,407
18,30,0.3765,0.02044677734375,0.0,0.023863194869712754,0.0011199730110528587,0/4,463872,12288,76.91311779106036,94.12297241692431,171.03609020798467,failed-1-rollback,339,75,586,24,0.3225,0.10359700520833333,,0.2326771183411122,0.020880989730358124,disabled,522240,52224,523.210695290938,105.6543682499323,628.8650635408703,failed-continued,289,67,644,53,0.5215,0.08378092447916667,,0.12803233958419127,0.011563646607100964,disabled,2141184,52224,61.131867542047985,34.08809683402069,95.21996437606867,failed-continued,480,83,437
